"","StateName","MeasureId","MeasureName","CountyName","ReportYear","Value","UnitName","YearStart","YearEnd","DataValue","DataSource","Topic","Question","StratificationCategory1","Stratification1","average Measured Air conditional Value in State","Total chronic disease value","state_census","Ratio.Total.chronic.disease.value.per.census","Index.Total.chronic.disease.value.per.census.per.average.Measured.Air.conditional.Value.in.State","Index.type"
"1","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Autauga",2010,1,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"2","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Autauga",2010,1,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"3","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Pike",2010,0,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"4","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Pike",2010,0,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"5","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Talladega",2010,2,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"6","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Talladega",2010,2,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"7","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","DeKalb",2010,0,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"8","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","DeKalb",2010,0,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"9","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Coffee",2010,0,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"10","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Coffee",2010,0,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"11","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","St. Clair",2010,1,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"12","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","St. Clair",2010,1,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"13","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Wilcox",2010,0,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"14","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Wilcox",2010,0,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"15","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Cullman",2010,1,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"16","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Cullman",2010,1,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"17","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Morgan",2010,0,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"18","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Morgan",2010,0,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"19","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Dale",2010,0,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"20","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Dale",2010,0,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"21","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Walker",2010,1,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"22","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Walker",2010,1,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"23","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Pickens",2010,0,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"24","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Pickens",2010,0,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"25","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Washington",2010,0,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"26","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Washington",2010,0,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"27","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Covington",2010,0,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"28","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Covington",2010,0,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"29","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Crenshaw",2010,0,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"30","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Crenshaw",2010,0,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"31","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Dallas",2010,0,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"32","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Dallas",2010,0,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"33","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Elmore",2010,0,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"34","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Elmore",2010,0,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"35","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Clay",2010,0,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"36","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Clay",2010,0,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"37","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Escambia",2010,1,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"38","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Escambia",2010,1,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"39","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Russell",2010,0,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"40","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Russell",2010,0,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"41","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Sumter",2010,1,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"42","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Sumter",2010,1,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"43","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Perry",2010,0,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"44","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Perry",2010,0,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"45","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Randolph",2010,0,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"46","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Randolph",2010,0,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"47","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Winston",2010,0,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"48","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Winston",2010,0,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"49","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Colbert",2010,0,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"50","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Colbert",2010,0,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"51","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Tallapoosa",2010,0,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"52","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Tallapoosa",2010,0,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"53","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Jefferson",2010,15,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"54","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Jefferson",2010,15,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"55","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Barbour",2010,0,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"56","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Barbour",2010,0,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"57","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Bullock",2010,0,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"58","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Bullock",2010,0,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"59","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Calhoun",2010,1,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"60","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Calhoun",2010,1,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"61","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Chilton",2010,2,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"62","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Chilton",2010,2,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"63","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Clarke",2010,0,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"64","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Clarke",2010,0,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"65","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Coosa",2010,1,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"66","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Coosa",2010,1,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"67","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Etowah",2010,0,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"68","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Etowah",2010,0,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"69","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Geneva",2010,0,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"70","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Geneva",2010,0,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"71","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Baldwin",2010,2,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"72","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Baldwin",2010,2,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"73","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Bibb",2010,2,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"74","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Bibb",2010,2,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"75","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Marshall",2010,0,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"76","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Marshall",2010,0,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"77","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Blount",2010,1,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"78","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Blount",2010,1,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"79","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Montgomery",2010,2,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"80","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Montgomery",2010,2,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"81","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Monroe",2010,0,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"82","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Monroe",2010,0,"No Units",2010,2014,1245,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
"83","Alabama",292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Shelby",2010,2,"No Units",2010,2014,1904,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",0.641791044776119,3149,4785437,0.000658038126925503,0.102531522102346,"percentage"
