"","StateName","MeasureId","MeasureName","CountyName","ReportYear","Value","UnitName","YearStart","YearEnd","DataValue","DataSource","Topic","Question","StratificationCategory1","Stratification1","average Measured Air conditional Value in State","Total chronic disease value","state_census","Ratio.Total.chronic.disease.value.per.census","Index.Total.chronic.disease.value.per.census.per.average.Measured.Air.conditional.Value.in.State","Index.type"
"1","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Baldwin",2011,2,"No Units",2011,2015,1867,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"2","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Baldwin",2011,2,"No Units",2011,2015,1231,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"3","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Colbert",2011,0,"No Units",2011,2015,1867,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"4","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Colbert",2011,0,"No Units",2011,2015,1231,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"5","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","DeKalb",2011,0,"No Units",2011,2015,1867,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"6","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","DeKalb",2011,0,"No Units",2011,2015,1231,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"7","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Elmore",2011,0,"No Units",2011,2015,1867,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"8","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Elmore",2011,0,"No Units",2011,2015,1231,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"9","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Etowah",2011,0,"No Units",2011,2015,1867,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"10","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Etowah",2011,0,"No Units",2011,2015,1231,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"11","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Houston",2011,0,"No Units",2011,2015,1867,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"12","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Houston",2011,0,"No Units",2011,2015,1231,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"13","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Jefferson",2011,19,"No Units",2011,2015,1867,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"14","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Jefferson",2011,19,"No Units",2011,2015,1231,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"15","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Madison",2011,2,"No Units",2011,2015,1867,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"16","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Madison",2011,2,"No Units",2011,2015,1231,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"17","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Mobile",2011,2,"No Units",2011,2015,1867,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"18","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Mobile",2011,2,"No Units",2011,2015,1231,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"19","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Montgomery",2011,0,"No Units",2011,2015,1867,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"20","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Montgomery",2011,0,"No Units",2011,2015,1231,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"21","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Morgan",2011,0,"No Units",2011,2015,1867,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"22","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Morgan",2011,0,"No Units",2011,2015,1231,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"23","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Russell",2011,1,"No Units",2011,2015,1867,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"24","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Russell",2011,1,"No Units",2011,2015,1231,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"25","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Shelby",2011,4,"No Units",2011,2015,1867,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"26","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Shelby",2011,4,"No Units",2011,2015,1231,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"27","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Sumter",2011,0,"No Units",2011,2015,1867,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"28","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Sumter",2011,0,"No Units",2011,2015,1231,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"29","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Tuscaloosa",2011,0,"No Units",2011,2015,1867,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Male",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
"30","Alabama",83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Tuscaloosa",2011,0,"No Units",2011,2015,1231,"Death Certificate","Cancer","Cancer of the lung and bronchus, mortality","Gender","Female",2,3098,4799069,0.000645541874892818,0.0322770937446409,"percentage"
